Index,Frame,Label
0,0,0
1,30,0
2,60,1
3,90,1
4,120,1
5,150,0
6,180,0
7,210,1
8,240,0
9,270,0
10,300,0
11,330,0
12,360,1
13,390,1
14,420,0
15,450,1
16,480,1
17,510,1
18,540,1
19,570,1
20,600,1
21,630,1
22,660,0
23,690,0
24,720,0
25,750,0
26,780,0
27,810,0
28,840,0
29,870,0
30,900,0
31,930,0
32,960,0
33,990,0
34,1020,0
35,1050,0
36,1080,0
37,1110,0
38,1140,0
39,1170,0
40,1200,0
41,1230,0
42,1260,0
43,1290,0
44,1320,0
45,1350,0
46,1380,0
47,1410,0
48,1440,0
49,1470,1
50,1500,1
51,1530,0
52,1560,0
53,1590,0
54,1620,1
55,1650,0
56,1680,0
57,1710,0
58,1740,1
59,1770,0
60,1800,1
61,1830,1
62,1860,1
63,1890,0
64,1920,0
65,1950,1
66,1980,1
67,2010,0
68,2040,0
69,2070,1
70,2100,1
71,2130,0
72,2160,1
73,2190,1
74,2220,0
75,2250,1
76,2280,1
77,2310,0
78,2340,0
79,2370,0
80,2400,0
81,2430,0
82,2460,0
83,2490,1
84,2520,1
85,2550,1
86,2580,0
87,2610,0
88,2640,0
89,2670,1
90,2700,1
91,2730,1
92,2760,1
93,2790,1
94,2820,1
95,2850,1
96,2880,1
97,2910,1
98,2940,1
99,2970,1
100,3000,1
101,3030,0
102,3060,0
103,3090,0
104,3120,1
105,3150,1
